Reference	Year	Sample.ID	SiO2.liq	TiO2.liq	Al2O3.liq	FeOt.liq	MnO.liq	MgO.liq	CaO.liq	Na2O.liq	K2O.liq	Cr2O3.liq	P2O5.liq	H2O.liq	SiO2.cpx	TiO2.cpx	Al2O3.cpx	FeOt.cpx	MnO.cpx	MgO.cpx	CaO.cpx	Na2O.cpx	K2O.cpx	Cr2O3.cpx	P_GPa	T_K
Melekhova et al (2017)	2017	Run2-1	51.1	0.88	17.67	7.69	0.21	3.63	7.77	3.24	0.45	0	0.12	6	47.51	1.29	6.65	8.79	0.26	13.3	20.14	0.31	0	0.09	0.24	1273.15
Melekhova et al (2017)	2017	Run2-2	59.31	0.8	17.84	6.7	0	1.83	5.2	2.5	0.56	0	0.14	3.64	49.67	0.83	3.61	11.82	0.45	14.15	17.73	0.28	0	0	0.24	1273.15
Melekhova et al (2017)	2017	Run2-3 - cpx	60.16	1.08	18.93	6.07	0	0.88	6.59	2.96	0.94	0	0	2.1	49.38	0.7	3.8	15.91	0.68	12.33	16.16	0.3	0.03	0	0.24	1273.15
Melekhova et al (2017)	2017	Run2-3 - cpx1	60.16	1.08	18.93	6.07	0	0.88	6.59	2.96	0.94	0	0	2.1	50.8	0.66	1.83	22.57	0.82	15.52	6.75	0.14	0	0	0.24	1273.15
Melekhova et al (2017)	2017	Run3-1	55	0.64	17.37	6.37	0.22	2.39	6.23	3.39	0.58	0	0.19	6.2	53.8	0.58	8.92	8.5	0.38	11.24	15.1	0.63	0.23	0	0.24	1273.15
Melekhova et al (2017)	2017	Run3-2	61.3	1	15.21	5.83	0.2	1.27	3.85	0.75	0.54	0	0.38	3.69	49.6	0.83	4.15	13.2	0.47	13.5	15.83	0.31	0	0	0.24	1248.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B659	49.9	0.63	19.7	7.02	0.14	5.1	7.82	3.7	0.5	0.01	0.17	5.7	49.9	0.41	8	6.1	0.15	15.7	18.5	0.58		0.36	1.2	1423.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B665	48.2	0.64	18.4	8.2	0.11	6.4	8.6	3.2	0.47	0.01	0.17	6.5	51.7	0.27	6.1	6.2	0.15	16.7	19.1	0.54		0.52	1.2	1423.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B668	52.7	0.77	19.5	6.6	0.11	4.3	7.5	3.97	0.65	0.03	0.15	4.5	50	0.49	8.5	7.1	0.18	16.3	16.9	0.7		0.24	1.2	1423.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B671	48.8	0.6	16.5	8.05	0.11	8.3	9.15	2.85	0.42	0.05	0.14	5.3	53.3	0.17	3.8	5.5	0.16	19.2	17.6	0.44		0.62	1.2	1463.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B674	50.9	0.62	18	7.61	0.11	6.83	8.67	3.3	0.49	0.04	0.22	4.2	51.8	0.28	7.1	5.9	0.15	17.2	17.9	0.57		0.45	1.2	1463.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B679	51.2	0.63	19.4	6.8	0.16	5.9	8.42	3.54	0.48	0.01	0.18	3.5	49.8	0.38	8.3	5.8	0.16	16	17.6	0.67		0.38	1.2	1463.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B681	53	0.69	19.9	5.62	0.09	3.42	6.34	3.96	0.69	0.01	0.18	5.5	48	0.62	10.4	7.3	0.16	13.8	17.6	0.82		0.09	1.2	1383.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B683	49.2	0.68	18.8	7.06	0.15	4.5	7.09	3.53	0.57	0.02	0.14	6	48.7	0.47	8.4	6.76	0.13	14.4	18.6	0.7		0.12	1.2	1383.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B686	49.1	0.55	17	7.68	0.17	8.06	9.23	2.83	0.37	0.03	0.17	5.6	53.3	0.12	3.2	5.3	0.16	20.2	17.2	0.46		0.63	1.2	1483.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B690	50	0.56	17	7.22	0.17	8.21	9.47	2.84	0.38	0.04	0.17	4.4	52.8	0.18	4.7	4.9	0.13	18.6	17.9	0.5		0.91	1.2	1503.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B702	55.6	0.63	16.2	4.94	0.11	4.61	6.8	3.38	0.86	0.02	0.17	5.5	53.5	0.19	2.9	5.08	0.14	17.7	19.2	0.49		0.48	1.2	1423.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B704	53.6	0.45	19.2	5.5	0.1	2.9	6.27	3.61	0.57	0.01	0.15	9	48.7	0.44	9.1	7.8	0.13	13.8	18.8	0.81		0.11	1.2	1343.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B705	54.5	0.6	15.1	5.29	0.13	6.15	7.53	3.36	0.79	0.01	0.14	6.1	54	0.15	2.5	4.5	0.11	18.5	19.3	0.49		0.58	1.2	1463.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B707	56.4	0.64	17.1	4.84	0.11	3.34	6.06	3.65	0.96	0.01	0.16	7.2	52.6	0.31	4.3	6.3	0.11	16.5	19.1	0.65		0.37	1.2	1383.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B708	58	0.62	18.2	3.93	0.05	2.08	5.13	4.19	1.09	0.01	0.24	7	50.6	0.52	6.7	7.5	0.13	14.9	18.6	0.81		0.28	1.2	1343.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B714	48.5	0.59	16.5	8.2	0.15	8.5	9.41	2.81	0.39	0.07	0.19	5.3	52.9	0.15	3.4	5.4	0.15	18.8	17.5	0.42		0.74	1.2	1503.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B720	57.7	0.63	18.2	3.48	0.04	1.98	5.27	3.88	1.03	0.01	0.16	8.8	51.1	0.56	5.6	6.9	0.17	15	18.6	0.74		0.36	1.2	1303.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B726	56.5	0.6	19	4.31	0.06	2.5	5.2	4.95	0.8	0.01	0.18	6.4	49.3	0.57	9.5	7.4	0.11	13.8	18.4	0.99		0.13	1.2	1343.15
"MŸntener, O., Kelemen, P.B., Grove, T.L. (2001)"	2001	B736	48.4	0.61	17.1	7.96	0.06	7.92	9.13	3	0.41	0.05	0.3	5.8	52.3	0.2	4.9	5.5	0.13	17.9	18.1	0.48		0.48	1.2	1503.15
"Minitti, M.E., Rutherford, M.J. (2000)"	2000	MS-18	52.9	1.57	8.18	18.21	0.49	5.12	8.89	2	0.59		0.48	1.56	52.9	0.22	0.33	18.73	0.76	21.19	4.88	0.03			0.02	1362.15
"Minitti, M.E., Rutherford, M.J. (2000)"	2000	MS-51	66.2	0.68	11.74	8.49	0.28	0.88	4.31	4.02	1.63		0.35	1.46	50.6	0.57	1.79	13.52	0.44	14.03	18.47	0.23			0.02	1223.15
"Minitti, M.E., Rutherford, M.J. (2000)"	2000	MS-52	56.9	0.66	11.11	15.62	0.17	1	7.4	2.85	1.64		1.46		49.4	0.87	1.04	21.99	0.52	9.9	14.95	0.14			0.0001	1253.15
"Minitti, M.E., Rutherford, M.J. (2000)"	2000	MS-70	49.7	2.12	9.97	22.27	0.34	3.12	9.5	1.94	0.5		0.81		50.9	0.3	1.22	16.98	0.5	14	14.96	0.15			0.0001	1353.15
Mollo et al. (2010)	2010	1	51.02	0.7	19	7.4	0	3.98	7.1	3	7.8	0	0	1	48.4	0.79	6.09	6.8	0	14.1	23.15	0.17	0.06	0	0.1	1423.5
Mollo et al. (2010)	2010	2	47.27	0.76	14.71	7.1	0	7.2	14	2.57	6.38	0	0	1	48.58	0.71	8.2	4.18	0	14.57	23.2	0.21	0.07	0	0.1	1473.5
Mollo et al. (2010)	2010	3	46.95	0.67	19.98	7.2	0	5.3	7.2	3.06	9.64	0	0	1	48.14	0.73	8.78	4.8	0	13.45	23.49	0.24	0.08	0	0.1	1423.5
Mollo et al. (2010)	2010	4	44.28	0.69	14	7	0	6.4	18.71	2.32	6.6	0	0	1	48.21	0.68	8.65	4.5	0	13.68	23.69	0.24	0.1	0	0.1	1473.5
Mollo et al. (2010)	2010	5	43	0.76	16.04	7.1	0	4.9	15.11	3.46	9.64	0	0	1	47.91	0.68	9.17	4.88	0	13.01	23.79	0.22	0.1	0	0.1	1423.5
Mollo et al. (2010)	2010	6	44.69	0.71	18.05	8	0	6.1	10	3.3	9.15	0	0	1	48.5	0.5	8.02	5.1	0	13.75	23.55	0.19	0.09	0	0.1	1423.5
Mollo et al. (2010)	2010	7	45.42	0.54	14.57	6.15	0	6.5	23.35	1.75	1.71	0	0	5	45.6	0.8	9.35	6.78	0	12.85	23.6	0.25	0.08	0	0.5	1423.5
Mollo et al. (2010)	2010	8	58.9	0.62	20.4	3.18	0.22	0.32	0.78	10.4	5.24	0	0	0.9	50.2	2.13	2.45	12.3	1.03	9.6	20.5	1.68	0	0	0.09	1273.5
Mollo et al. (2010)	2010	9	60.74	0.66	19.7	3.09	0.19	0.28	0.61	9.4	5.4	0	0	2.4	51.6	1.35	1.82	11.4	0.99	10.5	20.8	1.54	0.1	0	0.24	1273.5
"Moore, G., and Carmichael, I.S.E. (1998)"	1998	PEM1 2-5	68.2	0.47	14	2.14		0.7	2.45	3.1	2.74			3.7	51.4	1.17	3.1	6.05		15.5	21.01	1.1	0.03		0.101	1223.15
"Moore, G., and Carmichael, I.S.E. (1998)"	1998	PEM12-10	63.1	0.63	15.5	2.65		1.1	3.35	3.9	2.27			4.5	51.7	1.08	2.7	6.18		16.6	19.9	0.8			0.1455	1223.15
"Moore, G., and Carmichael, I.S.E. (1998)"	1998	PEM12-11	68.2	1.03	13.7	3.16		1.2	3.2	4.2	2.6			2.3	51.4	0.93	3.2	6.58		16.3	20.7	0.3	0.02		0.0441	1273.15
"Moore, G., and Carmichael, I.S.E. (1998)"	1998	PEM12-19	61.8	0.61	16.5	3.77		1.7	4.91	3.5	1.87			3.6	52.2	0.42	2.6	6.71		17.3	20.35	0.3	0.03		0.1008	1248.15
"Moore, G., and Carmichael, I.S.E. (1998)"	1998	PEM12-22	64	0.74	15	3.49		1.6	3.87	4	2.07			3	48.9	1.05	3.9	12		15.1	17.7	0.4	0.13		0.071	1233.15
"Moore, G., and Carmichael, I.S.E. (1998)"	1998	PEM22-1	56.1	0.88	17	5.04		3.1	5.4	5.1	1.81			3.5	50.6	0.89	5.11	7.52		15.1	21.42	0.3	0.02		0.0989	1323.15
"Moore, G., and Carmichael, I.S.E. (1998)"	1998	PEM22-17	55.7	0.82	17.4	3.3		3.1	5.64	4.2	1.47			4.6	50.1	0.79	4.2	6.94		15.4	21.52	0.4	0.02		0.1613	1273.15
"Moore, G., and Carmichael, I.S.E. (1998)"	1998	PEM22-18	53.2	1	17.6	4.87		3.3	6.52	3.9	1.24			5.1	50.5	0.71	4.2	6.08		15.4	22	0.3			0.204	1298.15
"Moore, G., and Carmichael, I.S.E. (1998)"	1998	PEM22-20	52.2	0.49	16.7	4.95		3.4	6.57	3.9	1.19			5.8	50.2	0.75	4.37	6.97		14.8	21.7	0.35	0.01		0.2496	1273.15
"Moore, G., and Carmichael, I.S.E. (1998)"	1998	PEM22-6	58.5	0.91	16.9	5.03		2.8	5.35	2.2	1.74			2.5	52.4	0.37	2.29	6.27		16.5	20.97	0.3	0.03		0.0607	1348.15
"Naney, M.T. (1983)"	1983	1	67.4		14.49	1.32		0.43	1.18	3.32	5.78			4.99	47.4		3.33	9.05		14.52	21.15	0.85	0.72		0.08	1173.15
"Parman, S.W., Dann, J.C., Grove, T.L., and deWit, M.J. (1997)"	1997	BK10	52.7	0.61	6.7	11.4	0.23	13.2	14	0.41		0.2			54.2	0.1	1	5.3	0.13	20.9	17	0.03		0.81	0.0001	1548.15
"Parman, S.W., Dann, J.C., Grove, T.L., and deWit, M.J. (1997)"	1997	BK13	52	0.8	9.2	11.4	0.18	11.7	14.2	0.16		0.22			54.6	0.08	0.93	6	0.13	21.1	16.9	0.07		0.75	0.0001	1523.15
"Parman, S.W., Dann, J.C., Grove, T.L., and deWit, M.J. (1997)"	1997	BK7	52.3	0.69	7.7	11.7	0.21	13	14.2	0.29		0.19			54.2	0.13	1.3	6.2	0.15	21.1	16.7	0.02		0.72	0.0001	1523.15
"Parman, S.W., Dann, J.C., Grove, T.L., and deWit, M.J. (1997)"	1997	BK8	51.9	0.9	10.3	11.9	0.16	10.1	13.3	0.44		0.1			54	0.15	1.3	6.4	0.17	21.2	16.7	0.04		0.77	0.0001	1498.15
"Parman, S.W., Dann, J.C., Grove, T.L., and deWit, M.J. (1997)"	1997	BK10	53.1	0.96	15.2	8.16	0.1	4.31	10.2	0.35		0.08			52.2	0.34	3.1	6.3	0.15	16.1	21.1	0.07		0.42	0.2	1299.15
"Parman, S.W., Dann, J.C., Grove, T.L., and deWit, M.J. (1997)"	1997	BK18	51	0.73	8.2	11	0.18	10.1	12.2	0.27		0.14			53.7	0.23	1.2	5.7	0.14	19.5	19	0.11		0.56	0.1	1423.15
"Parman, S.W., Grove, T.L. (2004)"	2004	BK2.27	48.7	0.74	7.77	12.65	0.21	16.03	12.8	0.68	0.05	0.32	0.09		55.6	0.07	1.35	6.84	0.18	25.49	9.89	0.17		0.59	1.5	1723.15
"Parman, S.W., Grove, T.L. (2004)"	2004	BK2.30	50.8	0.56	6.47	12.59	0.22	15.73	12.32	0.87	0.06	0.35	0.06	7.11	54.8	0.04	0.74	4.51	0.12	20.5	18.3	0.18		0.91	1.5	1548.15
"Parman, S.W., Grove, T.L. (2004)"	2004	W.12	47.6	0.71	18.85	8.4	0.12	10.48	11.63	1.72	0.05	0.04	0.34	8.69	51.5	0.18	5.68	4.36	0.07	17.36	19.62	0.35		0.37	1.5	1448.15
"Parman, S.W., Grove, T.L. (2004)"	2004	W.21	46	0.77	16.76	9.78	0.12	13.09	11.29	1.28	0.06	0.09	0.4		50.8	0.13	9.83	5.88	0.11	20.9	11.68	0.52		0.5	2	1723.15
"Parman, S.W., Grove, T.L. (2004)"	2004	W3.34	43.9	1.04	15.36	10.97	0.06	13.45	11.09	2.19	0.08	0.06	0.71		51	0.21	8.9	5.89	0.11	20.51	12.46	0.6		0.24	2	1698.15
"Pati_o-Douce, A.E. (1995)"	1995	APD553/PB	72.5	0.59	13.76	2.07	0.13	1	2.24	2.73	4.97				51.4	0.59	4.41	8.72	0.41	14.92	18.89	0.38			0.7	1273.15
"Pati_o-Douce, A.E. (1995)"	1995	APD555/PB	72.2	0.39	15.5	1.18	0.04	0.57	1.62	3.34	5.17				48.8	1.01	9.63	9.5	0.25	12.38	17.56	0.89			1.5	1273.15
"Pati_o-Douce, A.E. (1995)"	1995	APD556/PB	74.1	0.63	12.81	1.98	0.03	1.05	1.95	2.59	4.86				52.4	0.71	2.45	10.82	0.38	15.76	17.07	0.24			0.5	1273.15
"Pati_o-Douce, A.E. (1995)"	1995	APD561/PB	72	0.57	14.19	2.17	0.11	0.93	2.37	2.86	4.79				51.7	0.83	5.6	12.59	0.31	14.1	14.51	0.44			1	1273.15
"Pati_o-Douce, A.E. (1995)"	1995	APD568/PB	70.4	0.58	15.44	1.69	0.06	1.07	3.23	3.14	4.37				51.6	0.83	7.03	10.06	0.34	12.59	17.05	0.62			1.2	1273.15
"Pati_o-Douce, A.E. (1995)"	1995	APD583/PB	70.9	0.51	15.51	1.2	0.03	0.95	2.57	3.16	5.14				50.4	1.23	6.54	7.5	0.38	14.06	19	0.58			1.2	1573.15
"Patino-Douce, A.E. (2005)"	2005	APD 651	73.2	0.3	15.02	0.89	0.02	0.33	1.11	4.67	4.5			5.1	53.2	0.48	4.74	11.72	0.23	12.84	15.4	1.11	0.1		1.5	1223.15
"Patino-Douce, A.E. (2005)"	2005	APD-663	70.8	0.09	16.37	0.54	0.05	0.11	1.56	4.18	6.31			5.8	55.9	0.23	21.01	3.58		2.88	7.94	8.45	0.19		3.2	1273.15
"Patino-Douce, A.E. (2005)"	2005	APD-680	70.1	0.51	16.43	1.28	0.04	0.29	2.01	4.2	5.14			2	53.6	0.61	19.6	4.93	0.22	3.05	10.5	7.65	0.09		3.2	1373.15
"Patino-Douce, A.E. (2005)"	2005	APD-682	74.9	0.1	16.44	0.42	0.02	0.03	0.97	3.02	4.14			3.8	53.6	0.76	18.65	3.12	0.11	4.49	10.96	7.21	0.06		2.7	1348.15
"Patino-Douce, A.E. (2005)"	2005	APD-683	73.4	0.11	15.55	0.42	0.03	0.04	0.79	2.77	6.88			8.5	57.1	0.09	25.13	1.32	0.09	0.3	6.07	9.53	0.06		2.7	1298.15
"Patino-Douce, A.E. (2005)"	2005	APD-684	70.6	0.59	16.54	0.97	0.01	0.26	1.76	3.91	5.32			2.2	51.6	1.11	17.06	4.71	0.15	6.43	13.51	5.22	0.05		2.7	1423.15
"Patino-Douce, A.E. (2005)"	2005	APD-685	71.5	0.52	16.32	0.78	0.03	0.24	1.55	3.85	5.23			2.5	52.2	1.16	18.42	3.96	0.13	4.91	12.97	5.91	0.12		2.7	1398.15
"Patino-Douce, A.E. (2005)"	2005	APD-686	73.3	0.21	16.08	0.59	0.07	0.08	0.93	3.92	4.83			2.5	54.5	0.48	19.92	4.19		4.13	8.84	8.16	0.05		3.2	1323.15
"Patino-Douce, A.E. (2005)"	2005	FCH-9	73.8	0.29	16.57	0.78	0.03	0.11	1.09	3.04	4.3			3.5	52.5	1.31	19.1	3.62	0.15	4.15	12.1	6.98	0.03		2.7	1373.15
"Patino-Douce, A.E. (2005)"	2005	TED 44	72.9	0.38	15.32	1.15	0.01	0.22	0.89	4.99	4.14			3.1	53.1	0.66	8.67	7.22	0.2	10.94	15.87	3.39	0.05		2.1	1298.15
"Patino-Douce, A.E. (2005)"	2005	TED 45	72.2	0.37	16.05	0.65	0.03	0.12	0.88	3.6	6.13			2.1	54.7	0.71	14.56	5.98	0.12	6.21	10.46	6.44	0.09		3	1348.15
"Patino-Douce, A.E. (2005)"	2005	TED 47	72.6	0.21	15.85	0.7	0.1	0.23	1.12	5.2	3.95			6.3	54	0.71	9.99	5.92	0.11	11.21	15.01	3.68	0.1		2.1	1248.15
"Patino-Douce, A.E. (2005)"	2005	TED 48	75.5	0.17	16.62	0.52	0.02	0.1	0.98	2.1	4			7.3	55.7	0.37	17.68	4.89	0.13	4.07	8.85	7.76	0.11		3	1248.15
"Patino-Douce, A.E. (2005)"	2005	TED 49	73.5	0.18	15.44	0.69		0.07	0.78	3.11	6.22			2.9	55.7	0.4	19.21	4.13	0.05	3.62	9.03	7.64	0.16		3	1283.15
"Patino-Douce, A.E. (2005)"	2005	TED 50	72.7	0.3	15.6	0.83		0.27	1.17	5.25	3.91			8.1	52.9	0.7	9.45	6.06	0.18	11.53	15.65	3.43	0.11		2.1	1233.15
"Patino-Douce, A.E. (2005)"	2005	TED 51	73	0.21	15.74	0.5	0.03	0.27	0.94	5.51	3.81			9.8	52.8	0.75	11.06	6	0.15	9.56	14.38	4.06	0.42		2.1	1213.15
"Patino-Douce, A.E. (2005)"	2005	TED 52	71.3	0.49	16.14	0.69	0.06	0.39	1.52	4.05	5.41			1.8	52.2	0.9	10.72	3.89	0.19	11.38	18.04	3	0.08		2.1	1333.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	1093-12/IH	74.7	0.31	14.9	1.86	0.05	0.41	2.97	2.37	2.3			2.4	52.3	0.43	3.15	9.1	0.65	14.5	19	0.42			0.3	1148.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	1093-17/IH	75.7	0.36	12.6	2.02	0.18	0.48	2.98	2.6	2.76			5.5	51.5	0.41	2.7	7.9	0.82	15.2	20.1	0.42			0.3	1173.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	1093-26/IH	76	0.48	13.2	2.46	0.07	0.64	2.82	1.63	2.34			1.7	50.1	0.53	3.85	10.2	0.58	14	19.4	0.39			0.5	1198.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	1093-7/1H	74.9	0.38	13.6	1.27	0.16	0.54	3.01	3.1	2.63			1.6	52.1	0.35	2.33	6.6	0.51	15.9	20.8	0.51			0.3	1198.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	292-34/IH	75	0.41	13.2	2.42	0.11	0.64	2.03	1.88	3.88			3.9	48.9	0.63	3.3	11.2	0.46	14.4	17.5	0.54			0.5	1173.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 511/PC	72.5	0.41	15.3	2.65	0.08	0.64	3.29	2.17	2.65			5.5	50.1	0.61	4.28	13.2	0.5	12.4	17.3	0.53			1	1198.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 520/PC	72	0.55	15	3	0.2	0.79	3.42	2.38	2.41			5.1	49.6	0.8	4.5	12.3	0.46	13.3	17.4	0.53			1	1223.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 523/PC	73	0.52	14.3	2.48	0.19	0.64	3.02	2.79	2.74			3.5	51.8	0.5	2.4	12.5	0.57	14.2	17.3	0.27			0.7	1198.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 534/PC	74	0.43	15.3	1.51	0.04	0.54	1.69	3.33	2.92			3.9	50.3	0.86	6.75	10.1	0.29	12.4	17	1.44			1.5	1248.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 534/PC	73.4	0.34	15.2	0.97	0.05	0.36	1.09	2.93	5.46			4	51.7	0.67	6.72	8.1	0.09	13.1	17.8	1.52			1.5	1248.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 540/PC	71.3	0.68	14.4	2.95	0.1	1.05	3.63	2.08	3.53			2.3	51.5	0.54	2.88	13	0.55	14	16.9	0.4			0.7	1223.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 546/PC	70.1	1.26	13.8	3.75	0.15	1.11	3.65	2.56	3.26			4.4	50.9	0.82	4.29	11.9	0.4	13.4	16.9	0.43			1	1273.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 547/PC	73.7	0.33	15.5	1.36	0.04	0.44	1.65	3.92	2.91			5.5	51.3	0.65	6.55	9.7	0.28	12	18.6	1.37			1.5	1223.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 552/PCc	72.7	0.42	15.1	2.12	0.16	0.7	3.04	1.91	3.69			3.8	51.3	0.83	5.74	11.2	0.6	12.8	17.5	0.64			1	1183.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 557/PC	73.5	0.31	15.4	0.97	0.03	0.31	1.04	2.81	5.45				51.7	0.5	4.76	9.9	0.27	13.5	17.8	1.26			1.5	1273.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 557/PC	73.4	0.37	15.9	1.65	0.07	0.53	1.78	2.74	3.55				50.9	0.73	7.78	12	0.44	12.2	15.5	1.33			1.5	1273.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	PD 570/PCc	71.5	0.64	15.2	2.3	0.04	1.24	3.38	2.12	3.33				49.9	0.85	8.97	9.3	0.44	11.1	17.5	1.2			1.5	1223.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 588/PC	74.3	0.4	14.8	1.8	0.06	0.45	2.24	2.81	3.09			4.9	50.2	0.87	6.01	10.7	0.41	11.5	18.9	0.99			1.25	1203.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD 589/PC	72.9	0.58	15	2.16	0.05	0.54	2.29	2.87	3.32			4.3	50.1	0.85	6.49	12.8	0.57	11.7	16.3	0.82			1.25	1233.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD510/PC	71.1	0.69	15.6	3.16	0.12	0.89	4.08	2.12	2.05			5.1	49.8	0.74	4.86	13	0.56	13.1	16.9	0.49			1	1248.15
"Patino-Douce, A.E., Beard, J.S> (1995)"	1995	APD547/PC	73.6	0.32	15.4	1.06	0.03	0.31	1.08	2.86	5.24			5	51.8	0.76	6.56	12.2	0.4	12	15.8	1.25			1.5	1223.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	164	57	4.64	15.69	8.46	0.09	2.75	7.42	3.82	0.13				49.9	1.49	14.78	7.86	0.12	8.84	13.23	3.26			3	1648.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A168	56.4	6.25	14.94	8.42	0.09	2.31	6.92	4.2	0.51				50	1.87	15.09	7.79	0.12	8.12	12.81	3.62			3	1598.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A170	55.2	6.07	14.71	9.06	0.1	2.22	7.84	3.68	1.14				51.2	2	15.74	7.51	0.14	7.85	13	3.91			3	1588.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A171	56	6.38	15.31	8.27	0.09	2.39	7.44	3.77	0.31				50.1	1.79	14.86	7.79	0.12	8.26	13.03	3.5			3	1623.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A175	56.1	5.89	15.37	8.34	0.1	2.44	7.61	3.95	0.24				50.2	1.69	15.22	7.69	0.12	8.27	12.8	3.46			3	1638.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A177-121	56.6	6.47	14.93	7.91	0.09	2.19	6.83	4.14	0.81				50.3	2.12	15.41	7.73	0.11	7.96	13.1	3.78			3	1608.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A177-6	57.6	5.9	16.41	6.92	0.08	1.52	6.73	4.33	0.52				50.3	2.04	15.45	7.77	0.11	8.11	13.04	3.77			3	1608.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A177-82	57.2	5.66	15.35	8.02	0.1	2.28	7.14	3.94	0.28				49.9	1.87	14.92	7.73	0.11	8.27	13.05	3.55			3	1608.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A177-96	57.3	6.18	14.93	7.54	0.09	2.24	7.12	4.09	0.49				50.8	2.02	15.46	7.76	0.13	7.99	13.15	3.85			3	1608.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A184	52.6	2.96	17.52	9.98	0.14	4.17	8.25	4.36	0.05				48.6	1.23	14.1	7.76	0.17	11.51	15.57	2.02			2	1598.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A188K	61.5	4.12	14.52	6.2	0.06	1.98	6.19	4.01	1.44				51.6	1.74	14.17	7.34	0.1	8.71	13.65	3.49			3	1588.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A189	53.5	3.77	15.79	9.87	0.17	4	8.98	3.35	0.07				49.9	0.96	14.6	7.08	0.14	9.76	14.09	3.07			3	1698.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A190	51.9	3.19	16.49	10.15	0.15	4.61	9.42	3.5	0.07				49.7	0.85	14.49	6.76	0.15	10.34	14.45	2.9			3	1723.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A194	50.9	2.77	16.33	10.02	0.16	5.48	9.7	3.2	0.05				50.3	0.71	14.64	6.24	0.14	11.12	14.88	2.67			3	1748.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A195	54.6	4.54	16.03	9.44	0.12	3.1	8.22	3.79	0.12				50.6	1.28	15.06	7.63	0.13	9.31	13.7	3.23			3	1673.15
"Pertermann, M., and Hirschmann, M.M. (2000)"	2000	A197	49.5	2.02	16.53	9.72	0.16	7.25	10.93	3.13	0.03				49.7	0.69	13.79	5.7	0.14	12.39	15.45	2.2			3	1773.15
